,ComRevCat,ComRevDivCd,ComBrand,ComGroup,ComFamily,ComMT,ComMTM,Count,Avg,StdDev,Low,Med,High,Low_m,Low_b,Med_m,Med_b,High_m,High_b,r2,MSE,QP_ComMedPofL,QP_ComLogListPrice,QP_ComPctContrib,QP_UpgMES,QP_LogDealSize,QP_Indirect(1/0),QP_ComDelgPriceL4PofL,QP_EndOfQtr,QP_ClientSeg=E,PV_ComMedPofL,PV_ComLogListPrice,PV_ComPctContrib,PV_UpgMES,PV_LogDealSize,PV_Indirect(1/0),PV_ComDelgPriceL4PofL,PV_EndOfQtr,PV_ClientSeg=E,Qr2,QMSE,Adj_YtoMedPofL,Adj_psych,Adj_InputByBrand,avg_quote_cost,avg_quote_prc,avg_quote_prc_wp,avg_quote_prc_GP,avg_quote_prc_EGP,avg_opt_prc,avg_opt_prc_wp,avg_opt_prc_GP,avg_opt_prc_EGP
157,S,Power,OTHER POWER,O/S I,IBM I / SYSTEM I / I5/OS,5770a,5770SSAa,1130.0,0.620507148555,0.0774741633312,0.46,0.66,0.76,0.0,0.46,0.0,0.66,0.0,0.66,0.00688448075799,0.00755872102922,1.624882,-0.03393,0.048602,0,-0.040657,0.029484,-0.576969,-0.007212,0.009271,0.0,0.0008462,0.032488,0,0.0001404,0.1569878,0.232665,0.0803204,0.1353879,0.23248848652249376,0.067903411683160608,0.029292851445345547,1.0600000000000001,0,0.250111504425,0.620507148555,0.712290102323,0.586017090277,0.409438822484,0.60156688555,0.809357337395,0.582780866994,0.47117937031
158,S,Power,OTHER POWER,O/S I,IBM I / SYSTEM I / I5/OS,5770a,5770SSCa,819.0,0.62680330152,0.0748517417835,0.46,0.66,0.76,0.0,0.46,0.0,0.66,0.0,0.66,0.141743431627,0.00670467148478,1.625644,0.022903,-0.11688,0,-0.10204,0.159928,-0.751561,0,0,0.0,0.0034356,1.7e-06,0,0.0,0.0,0.2404546,0,0,0.27318951658597279,0.06385248463159858,0.022996698480201361,1.0600000000000001,0,0.250076923077,0.62680330152,0.700536681551,0.590215572535,0.406004464338,0.602008712396,0.809455317064,0.583108194259,0.471457263983
159,S,Power,OTHER POWER,O/S I,PERFORMANCE TOOL / JOB SCHEDULER / RUNTIME,,,167.0,0.645641869685,0.0790274469963,0.497509589041,0.66,0.741245205479,2.74529331058e+11,-68632332763.9,0.000150126629837,0.659962468343,2.55253500465e+12,-6.38133751163e+11,0.298165795068,0.00646091717155,1.394182,-0.013267,0,0,-0.029338,0.052145,-0.506858,-0.012646,0,0.0,0.0897068,0,0,0.003752,0.1003053,0.3605987,0.1978086,0,0.99085312245627499,0.06220958574233635,0.010511332502722071,1.0600000000000001,0,0.250377245509,0.645641869685,0.715829984483,0.604844730014,0.428249290151,0.615784268622,0.865161616829,0.591490456939,0.511666895149
160,S,Power,OTHER POWER,O/S I,PERFORMANCE TOOL / JOB SCHEDULER / RUNTIME,5770a,,147.0,0.639753008418,0.0629045195028,0.516198630137,0.66,0.731900684932,0.0,0.516198630137,0.0,0.66,0.0,0.66,0.0,0.004371565901,1.351663,0.030658,-0.162564,0,-0.044924,-0.109297,0,-0.012961,0,0.0,0.1186882,0.0108081,0,0.0009544,0.0320145,0,0.2018562,0,0.07935109466640955,0.060563520084488613,0.01291312171904424,1.0600000000000001,0,0.250428571429,0.639753008418,0.711710853181,0.60248131976,0.423720636957,0.610522120873,0.858741410916,0.589443266174,0.506034337664
161,S,Power,OTHER POWER,O/S I,SWMA FOR I5/OS,,,3030.0,0.644801667748,0.0876106943378,0.4468,0.66,0.7966,0.0,0.4468,0.0,0.66,0.0,0.72,0.00993437334174,0.00790589640869,9.755182,-0.026378,0.02502,0,-0.070526,0.015723,-15.374653,-0.001826,0.010533,0.0,0.0,0.3796007,0,0.0,0.290982,5e-07,0.4967933,0.0132139,0.31796150811167312,0.072365779166454897,0.014806105663759728,1.0600000000000001,0,0.312998986106,0.644801667748,0.700782808667,0.503437576004,0.341817189526,0.626748928836,0.799283126792,0.497211951691,0.397949396903
162,S,Power,OTHER POWER,O/S I,SWMA FOR I5/OS,5733a,,3030.0,0.644801667748,0.0876106943378,0.4468,0.66,0.7966,0.0,0.4468,0.0,0.66,0.0,0.72,0.00993437334174,0.00790589640869,9.755182,-0.026378,0.02502,0,-0.070526,0.015723,-15.374653,-0.001826,0.010533,0.0,0.0,0.3796007,0,0.0,0.290982,5e-07,0.4967933,0.0132139,0.31796150811167312,0.072365779166454897,0.014806105663759728,1.0600000000000001,0,0.312998986106,0.644801667748,0.700782808667,0.503437576004,0.341817189526,0.626748928836,0.799283126792,0.497211951691,0.397949396903
163,S,Power,OTHER POWER,O/S I,SWMA FOR I5/OS,5733a,5733SPMa,243.0,0.653904526749,0.0324480835745,0.639,0.66,0.6705,0.0,0.639,0.0,0.66,0.0,0.66,0.0160266122475,0.00109083591026,863170104.290493,-0.026494,0,-226120.77817,-0.060956,1311203635.925171,-5371346995.93512,0.005557,-0.003484,0.0,0.025667,0,0.0,0.0,0.0,0.0,0.1372108,0.4264845,0.23538813402098813,0.028431843666154016,0.005024473251038053,1.0600000000000001,0,0.313,0.653904526749,0.989649678337,0.519368698111,0.513928734419,0.671956554091,0.974103940285,0.53414392472,0.520275849021
164,S,Power,OTHER POWER,O/S I,SWMA FOR I5/OS,5733a,5733SPOa,330.0,0.648957879148,0.0269169914243,0.580184759358,0.66,0.699907620321,-0.494217818442,0.759539044486,-1.86120100683,1.24248795397,-1.92592592593,1.26281481481,0.333333333333,0.000856582245155,533772374.736343,0.035692,-0.290169,97.840446,-0.082528,812336424.652206,-3323213843.882172,0,0,0.0,0.195147,0.0136196,0.0,4.2e-06,0.0,0.0,0,0,0.14303734778982935,0.024955512008953285,0.008229413085095727,1.0600000000000001,0,0.313,0.648957879148,0.902074906349,0.51674642967,0.465340040085,0.647803806534,0.936145416421,0.516795724516,0.483735621481
165,S,Power,OTHER POWER,OTHER,,,,737.0,0.817086797925,0.0571075827889,0.72,0.82,0.91,0.0,0.72,0.0,0.82,0.0,0.900000000001,0.14221917795,0.00388450718863,0.443088,-0.011416,-0.015916,0,-0.008376,-0.034505,0.705582,-0.002727,-0.005546,0.0,8.3e-06,0.4563915,0,8.91e-05,0.0,0.0,0.2888383,0.2857525,0.99837476297266114,0.033020579957428277,-0.0090783435055342698,1.0600000000000001,0,0.707046132972,0.817086797925,0.943473711242,0.131581342487,0.111286237446,0.83705090042,0.940925867886,0.154229616057,0.148082201092
166,S,Power,OTHER POWER,OTHER,RHEL & SLES & RTSS,,,658.0,0.809047119024,0.0455576355258,0.72,0.82,0.89,0.849434683134,0.190147045087,0.718134502683,0.290116630576,0.0985298005367,0.764988549,0.504736166565,0.00161839058552,1.091374,0,-0.018922,0,-0.008532,-0.031153,0,0,-0.011134,0.0,0,0.3091693,0,3.3e-06,0.0,0,0,0.0283895,0.99875747784643665,0.02856362590615177,-0.0024783790427873598,1.0600000000000001,0,0.713829787234,0.809047119024,0.963143632342,0.117110935842,0.107797993818,0.846124488901,0.961553930739,0.156908986983,0.1508996851
